I,J,frob_lesser,frob_greater
10,10,5.140945e+05,5.140945e+05
10,11,1.138067e+05,1.138067e+05
10,12,2.274686e+04,2.274686e+04
10,13,3.461193e+04,3.461193e+04
10,14,2.345811e+04,2.345811e+04
10,15,1.735693e+04,1.735693e+04
11,0,5.613214e+04,5.613214e+04
11,1,8.417893e+04,8.417893e+04
11,2,1.024607e+05,1.024607e+05
11,3,2.156465e+04,2.156465e+04
11,4,1.765080e+04,1.765080e+04
11,5,1.193342e+04,1.193342e+04
11,6,1.718576e+04,1.718576e+04
11,7,3.941752e+03,3.941752e+03
11,8,8.273547e+04,8.273547e+04
11,9,8.132535e+04,8.132535e+04
11,10,1.138067e+05,1.138067e+05
11,11,3.084356e+04,3.084356e+04
11,12,1.420390e+04,1.420390e+04
11,13,1.992797e+04,1.992797e+04
11,14,1.691809e+04,1.691809e+04
11,15,1.225695e+04,1.225695e+04
12,0,1.174225e+04,1.174225e+04
12,1,1.688554e+04,1.688554e+04
12,2,2.230684e+04,2.230684e+04
12,3,1.415473e+04,1.415473e+04
12,4,2.403667e+05,2.403667e+05
12,5,1.425434e+05,1.425434e+05
12,6,2.564132e+05,2.564132e+05
12,7,2.341892e+04,2.341892e+04
12,8,1.498719e+04,1.498719e+04
12,9,1.477248e+04,1.477248e+04
12,10,2.274686e+04,2.274686e+04
12,11,1.420390e+04,1.420390e+04
12,12,1.812493e+05,1.812493e+05
12,13,2.485309e+05,2.485309e+05
12,14,2.531639e+05,2.531639e+05
12,15,1.540121e+05,1.540121e+05
13,0,1.442966e+04,1.442966e+04
13,1,2.187403e+04,2.187403e+04
13,2,3.294123e+04,3.294123e+04
13,3,2.165706e+04,2.165706e+04
13,4,3.696433e+05,3.696433e+05
13,5,2.240652e+05,2.240652e+05
13,6,3.944163e+05,3.944163e+05
13,7,3.545905e+04,3.545905e+04
13,8,1.959729e+04,1.959729e+04
13,9,1.904551e+04,1.904551e+04
13,10,3.461193e+04,3.461193e+04
13,11,1.992797e+04,1.992797e+04
13,12,2.485309e+05,2.485309e+05
13,13,4.020744e+05,4.020744e+05
13,14,3.829162e+05,3.829162e+05
13,15,2.532090e+05,2.532090e+05
14,0,2.037637e+04,2.037637e+04
14,1,3.009743e+04,3.009743e+04
14,2,2.532987e+04,2.532987e+04
14,3,1.939679e+04,1.939679e+04
14,4,3.627970e+05,3.627970e+05
14,5,2.180262e+05,2.180262e+05
14,6,4.052994e+05,4.052994e+05
14,7,3.911747e+04,3.911747e+04
14,8,2.410013e+04,2.410013e+04
14,9,2.445744e+04,2.445744e+04
14,10,2.345811e+04,2.345811e+04
14,11,1.691809e+04,1.691809e+04
14,12,2.531639e+05,2.531639e+05
14,13,3.829162e+05,3.829162e+05
14,14,4.024788e+05,4.024788e+05
14,15,2.500223e+05,2.500223e+05
15,0,1.207023e+04,1.207023e+04
15,1,2.073641e+04,2.073641e+04
15,2,1.840453e+04,1.840453e+04
15,3,1.243296e+04,1.243296e+04
15,4,2.347574e+05,2.347574e+05
15,5,1.442963e+05,1.442963e+05
15,6,2.628004e+05,2.628004e+05
15,7,2.540690e+04,2.540690e+04
15,8,1.527753e+04,1.527753e+04
15,9,1.672079e+04,1.672079e+04
15,10,1.735693e+04,1.735693e+04
15,11,1.225695e+04,1.225695e+04
15,12,1.540121e+05,1.540121e+05
15,13,2.532090e+05,2.532090e+05
15,14,2.500223e+05,2.500223e+05
15,15,1.820121e+05,1.820121e+05
